Employee ID,Name,Gender,Department,Job Title,Salary,Nationality,Languages Spoken
208-77-0713,Lacey Jones,Female,I/T,IT Specialist,70232,USA,Spanish
721-57-7435,Derek Santiago,Male,Operations,Operations Manager,83281,India,French
031-93-3519,Sarah Hamilton,Female,Administrative,Administrative Assistant,49390,India,
441-36-9847,Manuel Lee,Male,I/T,IT Specialist,92725,India,
275-05-5419,Cynthia Clark,Female,Sales,Sales Representative,49011,USA,
349-70-2596,Cheryl Evans,Female,Product,Product Manager,80587,USA,"French, Hindi"
512-83-0037,Andrew Nichols,Male,Finance,Financial Analyst,92247,USA,"French, Hindi"
700-65-6515,Donald Maddox,Male,Marketing,Marketing Specialist,86890,India,Hindi
195-83-0461,Yolanda Miller,Female,Operations,Operations Manager,80521,USA,Chinese
439-34-7076,Jimmy Adkins,Male,I/T,IT Specialist,86123,USA,German
190-57-6272,Michael Allison,Male,Legal,Paralegal,54421,India,"Spanish, Hindi"
151-24-5260,Eric King Jr.,Male,Operations,Operations Manager,90159,USA,Hindi
153-02-9050,Steven Rose,Male,Product,Product Manager,105599,India,"French, Chinese"
673-13-5133,Kelli Davidson,Female,Administrative,Administrative Assistant,54926,China,
466-35-0110,Matthew Mueller,Male,Operations,Operations Manager,79175,India,
447-05-7663,Benjamin Williams,Male,Administrative,Administrative Assistant,36362,USA,
770-77-8755,William Underwood,Male,I/T,IT Specialist,66752,USA,Spanish
887-34-4794,Patrick Kemp,Male,Marketing,Marketing Specialist,68252,India,"French, German"
466-79-1507,Theresa Collier,Female,Operations,Operations Manager,72036,USA,"German, Chinese"
331-39-5657,Tasha Mcbride,Female,Administrative,Administrative Assistant,54695,USA,
488-89-5580,Amy Fuller,Female,Product,Product Manager,106676,USA,German
663-91-5449,Kathleen Conley,Female,Sales,Sales Representative,52225,India,
441-63-9105,Melanie Flores,Female,Operations,Operations Manager,78830,USA,Chinese
314-59-0660,Michael Meyer,Male,Sales,Sales Representative,58371,USA,Hindi
057-37-3225,Andrew Morton,Male,Human Resource,HR Specialist,54024,China,"Spanish, French"
356-67-0135,Phillip Lewis,Male,Human Resource,HR Specialist,63306,USA,
002-30-3768,David Lewis,Male,Finance,Financial Analyst,74046,USA,"German, French"
686-89-9823,Lisa Smith,Female,Marketing,Marketing Specialist,61022,USA,"Chinese, Spanish"
288-70-2311,Luis Green,Male,Sales,Sales Representative,68165,India,"French, Hindi"
643-32-1548,Jacob Owen,Male,Human Resource,HR Specialist,61706,USA,
536-27-1925,Crystal Brown,Female,I/T,IT Specialist,72680,USA,"Hindi, Spanish"
819-87-2331,Latoya Ramos,Female,Legal,Paralegal,74990,USA,German
424-91-6189,Jonathan Marsh,Male,Finance,Financial Analyst,80096,India,"Hindi, Spanish"
365-97-4187,Jason Hall,Male,Finance,Financial Analyst,88785,USA,
424-23-0450,Justin Brooks,Male,Product,Product Manager,105959,China,"German, Hindi"
787-99-6694,Nancy Farley,Female,Operations,Operations Manager,90875,USA,Hindi
311-23-5877,Edward Beck,Male,Product,Product Manager,94439,India,"Hindi, Spanish"
599-17-1999,Robin Lamb,Female,I/T,IT Specialist,92225,India,
624-06-3275,Seth Weber,Male,Marketing,Marketing Specialist,78212,USA,French
730-13-2722,Robert Leon,Male,Operations,Operations Manager,77836,India,Hindi
032-74-6627,Maria Mclean,Female,Operations,Operations Manager,98860,USA,"Spanish, Chinese"
147-31-8151,Joseph Hickman,Male,I/T,IT Specialist,93710,USA,French
871-53-0140,Justin Little,Male,Legal,Paralegal,58632,USA,"Chinese, Hindi"
071-53-2054,Donald Ramirez,Male,Human Resource,HR Specialist,51566,USA,French
193-45-0490,Edward Robinson,Male,Operations,Operations Manager,92840,USA,French
200-08-3907,Elizabeth Robinson,Female,I/T,IT Specialist,65095,USA,
412-09-0104,Janet Joseph,Female,Operations,Operations Manager,80426,USA,Spanish
447-76-2687,Angelica Moore,Female,Operations,Operations Manager,75442,USA,"Hindi, Chinese"
173-57-2031,Eric Leon,Male,Marketing,Marketing Specialist,83058,USA,
361-30-7480,Joel Sampson,Male,I/T,IT Specialist,70606,India,
058-59-8847,Stacie Hamilton,Female,Operations,Operations Manager,70117,USA,
466-06-1897,Mr. Matthew Chapman,Male,Legal,Paralegal,54091,India,
759-91-2406,Brittany Butler,Female,Product,Product Manager,97491,India,Hindi
022-15-8148,Brittany Harris,Female,Sales,Sales Representative,51867,USA,
417-43-0061,Sarah Harvey,Female,Operations,Operations Manager,92278,USA,Spanish
591-43-8644,Tyrone Williams,Male,I/T,IT Specialist,75640,USA,"German, Spanish"
318-29-1175,Stephen Jones,Male,Operations,Operations Manager,74187,China,"Spanish, Chinese"
238-78-9963,Kelly Kennedy,Female,Marketing,Marketing Specialist,74629,India,"Chinese, Spanish"
864-14-6742,Derrick Serrano DDS,Male,Human Resource,HR Specialist,69424,USA,"Hindi, German"
665-80-2000,Stephanie Garcia,Female,I/T,IT Specialist,78329,USA,Hindi
319-17-7747,Kristy Thompson,Female,Product,Product Manager,91650,USA,Chinese
499-08-0381,Tracy Kelley,Female,Product,Product Manager,111498,USA,"French, Chinese"
582-92-1536,Kelsey Burke,Female,Marketing,Marketing Specialist,86643,India,"French, German"
273-50-1851,Amy Monroe,Female,Product,Product Manager,92061,USA,"Hindi, French"
400-64-2756,Michael Jensen,Male,Finance,Financial Analyst,92934,India,"Chinese, French"
103-01-5064,Dr. Brian Duran,Male,Finance,Financial Analyst,70153,USA,
671-81-3439,John Coleman,Male,Operations,Operations Manager,86765,USA,Hindi
511-58-9329,Jason Farrell,Male,Marketing,Marketing Specialist,79949,USA,"German, French"
543-21-4262,Robert Mclaughlin,Male,Administrative,Administrative Assistant,44171,India,
146-08-1694,Aaron Johnson,Male,Operations,Operations Manager,87338,USA,
402-37-9466,Rita Adams,Female,Operations,Operations Manager,84940,USA,"Hindi, Spanish"
577-21-3782,Scott Wilson,Male,Marketing,Marketing Specialist,81037,India,"Spanish, French"
650-30-2547,Amy Atkinson,Female,Operations,Operations Manager,83719,India,Chinese
342-53-2538,Patricia Pierce,Female,Human Resource,HR Specialist,63765,India,
027-16-5603,Devin Hamilton,Male,Human Resource,HR Specialist,54419,USA,
010-88-0758,Daniel Ritter,Male,Marketing,Marketing Specialist,66479,USA,"Hindi, Chinese"
528-21-8950,Grace Anderson,Female,Product,Product Manager,94078,USA,
